# New planet
1.738459712288991169e-04 3.438851169414856341e-05
1.745055689246219149e-04 3.453053738650570649e-05
1.751664290758125149e-04 3.467275599502117839e-05
1.758285531965051763e-04 3.481516783805901406e-05
1.764919428018124788e-04 3.495777325107785055e-05
1.771565994077553194e-04 3.510057258663504021e-05
1.778225245310926660e-04 3.524356621438910368e-05
1.784897196891513371e-04 3.538675452110054984e-05
1.791581863996556472e-04 3.553013791063103552e-05
1.798279261805571592e-04 3.567371680394085834e-05
1.804989405498641400e-04 3.581749163908481634e-05
1.811712310254712320e-04 3.596146287120640078e-05
1.818447991249890709e-04 3.610563097253030834e-05
1.825196463655737406e-04 3.624999643235332706e-05
1.831957742637565264e-04 3.639455975703350787e-05
1.838731843352734785e-04 3.653932146997772334e-05
1.845518780948951108e-04 3.668428211162751888e-05
1.852318570562562082e-04 3.682944223944331050e-05
1.859131227316856343e-04 3.697480242788690877e-05
1.865956766320363009e-04 3.712036326840239625e-05
1.872795202665152470e-04 3.726612536939529727e-05
1.879646551425137439e-04 3.741208935621009423e-05
1.886510827654377801e-04 3.755825587110608383e-05
1.893388046385384926e-04 3.770462557323155946e-05
1.900278222627428410e-04 3.785119913859630639e-05
1.907181371364845811e-04 3.799797726004243669e-05
1.914097507555353453e-04 3.814496064721357760e-05
1.921026646128360499e-04 3.829215002652235897e-05
1.927968801983285455e-04 3.843954614111622027e-05
1.934923989987874841e-04 3.858714975084161160e-05
1.941892224976526199e-04 3.873496163220644636e-05
1.948873521748613281e-04 3.888298257834092774e-05
1.955867895066815284e-04 3.903121339895670132e-05
1.962875359655449079e-04 3.917965492030431378e-05
1.969895930198806589e-04 3.932830798512900448e-05
1.976929621339494603e-04 3.947717345262482342e-05
1.983976447676780012e-04 3.962625219838706187e-05
1.991036423764939111e-04 3.977554511436299568e-05
1.998109564111610426e-04 3.992505310880095491e-05
2.005195883176153773e-04 4.007477710619768580e-05
2.012295395368013113e-04 4.022471804724405260e-05
2.019408115045084016e-04 4.037487688876900460e-05
2.026534056512087085e-04 4.052525460368191015e-05
2.033673234018944904e-04 4.067585218091316273e-05
2.040825661759166037e-04 4.082667062535311322e-05
2.047991353868232551e-04 4.097771095778932852e-05
2.055170324421994304e-04 4.112897421484218988e-05
2.062362587435068401e-04 4.128046144889880410e-05
2.069568156859243784e-04 4.143217372804525433e-05
2.076787046581892609e-04 4.158411213599723155e-05
2.084019270424387579e-04 4.173627777202897863e-05
2.091264842140525243e-04 4.188867175090063523e-05
2.098523775414956616e-04 4.204129520278391575e-05
2.105796083861623757e-04 4.219414927318620165e-05
2.113081781022204211e-04 4.234723512287297351e-05
2.120380880364561955e-04 4.250055392778866431e-05
2.127693395281206746e-04 4.265410687897587956e-05
